[TRACE] 23:03:10:471 nivel4/(10013:10014): Deadlock check started.
[TRACE] 23:03:10:559 nivel4/(10013:10013): Personaje a mover &, posicionX 39 posicionY 3
[TRACE] 23:03:10:559 nivel4/(10013:10013): Movimiento personaje: x: 39, y: 3

[TRACE] 23:03:10:661 nivel4/(10013:10013): Personaje a mover &, posicionX 40 posicionY 3
[TRACE] 23:03:10:662 nivel4/(10013:10013): Movimiento personaje: x: 40, y: 3

[TRACE] 23:03:10:762 nivel4/(10013:10013): Personaje a mover &, posicionX 41 posicionY 3
[TRACE] 23:03:10:762 nivel4/(10013:10013): Movimiento personaje: x: 41, y: 3

[TRACE] 23:03:12:60 nivel4/(10013:10013): Personaje a mover #, posicionX 50 posicionY 1
[TRACE] 23:03:12:60 nivel4/(10013:10013): Movimiento personaje: x: 50, y: 1

[TRACE] 23:03:12:161 nivel4/(10013:10013): Personaje a mover #, posicionX 51 posicionY 1
[TRACE] 23:03:12:161 nivel4/(10013:10013): Movimiento personaje: x: 51, y: 1

[TRACE] 23:03:12:261 nivel4/(10013:10013): Personaje a mover #, posicionX 52 posicionY 1
[TRACE] 23:03:12:261 nivel4/(10013:10013): Movimiento personaje: x: 52, y: 1

[TRACE] 23:03:13:561 nivel4/(10013:10013): Personaje a mover &, posicionX 42 posicionY 3
[TRACE] 23:03:13:561 nivel4/(10013:10013): Movimiento personaje: x: 42, y: 3

[TRACE] 23:03:13:662 nivel4/(10013:10013): Personaje a mover &, posicionX 43 posicionY 3
[TRACE] 23:03:13:662 nivel4/(10013:10013): Movimiento personaje: x: 43, y: 3

[TRACE] 23:03:13:763 nivel4/(10013:10013): Personaje a mover &, posicionX 44 posicionY 3
[TRACE] 23:03:13:763 nivel4/(10013:10013): Movimiento personaje: x: 44, y: 3

[TRACE] 23:03:15:63 nivel4/(10013:10013): Personaje a mover #, posicionX 53 posicionY 1
[TRACE] 23:03:15:63 nivel4/(10013:10013): Movimiento personaje: x: 53, y: 1

[TRACE] 23:03:15:164 nivel4/(10013:10013): Personaje a mover #, posicionX 54 posicionY 1
[TRACE] 23:03:15:164 nivel4/(10013:10013): Movimiento personaje: x: 54, y: 1

[TRACE] 23:03:15:265 nivel4/(10013:10013): Personaje a mover #, posicionX 55 posicionY 1
[TRACE] 23:03:15:266 nivel4/(10013:10013): Movimiento personaje: x: 55, y: 1

[TRACE] 23:03:16:565 nivel4/(10013:10013): Personaje a mover &, posicionX 45 posicionY 3
[TRACE] 23:03:16:566 nivel4/(10013:10013): Movimiento personaje: x: 45, y: 3

[TRACE] 23:03:16:667 nivel4/(10013:10013): Personaje a mover &, posicionX 46 posicionY 3
[TRACE] 23:03:16:667 nivel4/(10013:10013): Movimiento personaje: x: 46, y: 3

[TRACE] 23:03:16:770 nivel4/(10013:10013): Personaje a mover &, posicionX 47 posicionY 3
[TRACE] 23:03:16:770 nivel4/(10013:10013): Movimiento personaje: x: 47, y: 3

[TRACE] 23:03:18:68 nivel4/(10013:10013): Personaje a mover #, posicionX 56 posicionY 1
[TRACE] 23:03:18:68 nivel4/(10013:10013): Movimiento personaje: x: 56, y: 1

[TRACE] 23:03:18:169 nivel4/(10013:10013): Personaje a mover #, posicionX 57 posicionY 1
[TRACE] 23:03:18:169 nivel4/(10013:10013): Movimiento personaje: x: 57, y: 1

[TRACE] 23:03:18:270 nivel4/(10013:10013): Personaje a mover #, posicionX 58 posicionY 1
[TRACE] 23:03:18:270 nivel4/(10013:10013): Movimiento personaje: x: 58, y: 1

[TRACE] 23:03:19:571 nivel4/(10013:10013): Personaje a mover &, posicionX 48 posicionY 3
[TRACE] 23:03:19:571 nivel4/(10013:10013): Movimiento personaje: x: 48, y: 3

[TRACE] 23:03:19:672 nivel4/(10013:10013): Personaje a mover &, posicionX 49 posicionY 3
[TRACE] 23:03:19:673 nivel4/(10013:10013): Movimiento personaje: x: 49, y: 3

